node_id	cluster_id
7621	1
29865	1
48855	4819
667	1
7229	6615
28319	1404
38125	9104
25103	8613
8931	1
1816	1
28507	2571
29046	1
45859	1
27522	2711
86390	7367
1831	1
15075	6856
33874	4857
6103	1
150675	4052
110440	8464
4667	1
23305	1
73002	5024
6885	1
12925	1
1809	1
15239	1
72900	1
1423	1
6099	1
102657	6525
108727	1032
38102	6912
2458	1
25108	9633
67071	9515
15558	1
4781	2597
44073	12768
1825	1
14288	2564
26727	1493
787	1
28087	4261
79740	2465
62376	1
28500	4447
57310	6275
37929	1
29948	1
27499	2807
14234	7720
173	1
43472	9089
15678	7714
11882	1
19720	1
660	1
28836	4142
28289	6871
10970	4354
14758	10370
3835	1
35615	1
27133	1
10675	1
9588	1
29049	1
23304	1
31608	1
661	1
111732	8634
38907	11120
3262	1
10911	1
48920	1
11991	8943
16688	1
29139	1
1811	1
135534	7813
11671	10229
180381	7494
8936	1
12924	7751
33172	1
13373	6332
12340	1
72916	13985
28025	6034
127447	1
4530	1
17307	1
20830	3939
103279	9392
26818	8035
21346	1
25110	9888
120143	7587
15651	1
15610	1
16687	1
13205	1
51147	3784
14635	374
28357	1
82374	3307
45948	4098
79689	9701
9512	4417
68382	4553
3591	1
124203	10820
3318	1
13349	6874
17390	1
13387	1
1802	1
16850	6385
206	864
29219	10564
70444	3298
42575	8987
16496	8688
46592	7703
106437	4142
14331	1
50384	19
27846	7435
105298	5220
15493	1
20142	1
14358	4203
151431	6954
13169	1
17024	4629
69329	4739
40589	4058
84599	3448
32474	6689
77973	8691
16379	313
112942	4797
1826	1
41229	7434
58148	5993
9008	1
7866	2817
52621	10899
11836	4417
14997	8885
51288	1
18212	3861
130882	9815
16979	9681
122807	8763
10564	1
28941	6244
28842	2830
25106	1
204	1
29112	10907
193	1
27648	7704
7479	9572
14820	7771
6096	1
67530	9257
101308	6300
15568	1
15692	2357
15335	8588
22777	3562
3542	1
31173	10283
662	1
77815	1
62875	2093
95457	4447
30603	1
10001	1
51122	1985
752	4803
9202	7388
29508	6867
80223	7634
28320	4936
15021	2464
17371	4477
4417	1
173302	730
14357	11007
27175	1818
28822	1
8270	1
180730	9731
30050	415
71344	6265
71049	1
6112	1
50936	1
57682	7681
1828	1
37736	6932
30854	8904
6590	1
16607	6806
15449	1
100047	9118
87930	3724
22288	3465
31073	3256
3805	1
17410	4764
8198	3319
161512	6190
16699	5701
84598	5117
30523	2121
26857	1
6102	1
101698	10711
3593	1
39498	1
93966	9524
29178	1
32494	1
79417	10490
7032	1
13510	2293
28612	1
1803	10852
28147	1
20182	1
19732	6254
9583	1
12285	1
75703	5999
15646	1
38083	1
11482	1
28132	1
5245	4081
182379	4498
9526	1
47963	1
53510	3699
28806	1
665	4373
28145	1
168519	7800
74590	7126
84129	8643
127451	5204
10871	1
9020	1
29064	8873
90954	3947
56397	7482
30167	3283
84449	2504
68412	1
129012	7906
1800	1
12668	5189
64975	10127
51145	6982
17419	3408
77841	1
89982	7144
63477	9043
22758	1
13667	1
155295	13854
2431	9566
9012	1
16740	1
12929	1
74171	3565
26594	2802
45860	576
14753	1
166721	4455
31209	6375
28707	1
1788	1
187062	5298
6722	4104
20175	6181
13860	10426
13900	7328
59760	605
57510	3881
15589	1
68708	9089
4344	1
10256	1
3581	1
15938	1
53159	9705
29101	10168
98000	5289
3986	1
171	10606
32881	8314
14264	6762
30847	10057
15192	2003
27825	4922
28492	1
134725	9043
15008	1
28528	1739
16400	907
47338	9812
24584	8285
6688	1
178	1
116648	850
55635	2476
42491	1
16207	9709
10881	1
11880	6382
16477	1
10257	1
16545	7166
47752	3852
35888	1
35898	9951
47755	1
19729	10084
47004	9655
110277	6758
1829	1
57342	2044
29362	1
31556	3642
27286	1
10037	10813
14696	355
1832	1
35005	5413
117393	9709
30857	1
12691	10818
30654	5358
16895	7967
18067	1
182	1
14708	4887
13420	1
63626	10769
27630	6073
1939	1
80304	4406
