node_id	cluster_id
111	0
57330	702
34185	1114
14923	890
23053	2589
7204	783
6653	357
1396	406
109	896
14454	480
15935	0
84252	2833
52890	510
12986	2143
71934	2616
8832	24
61799	2429
2888	598
2681	0
16730	1063
26570	1701
70814	1862
52530	1157
23413	0
38275	890
6707	371
44442	3125
33173	731
96593	43584
48134	0
129438	458
13681	25
15065	990
43440	321
13809	0
60935	3067
58379	762
46848	518
1690	370
16853	957
764	0
66146	0
12466	0
84044	0
14392	637
1330	0
819	0
6124	1141
14895	841
34064	0
6042	422
796	0
313	0
60908	0
36143	313
5171	1394
12939	1149
89875	1367
36304	562
7000	0
7965	0
8494	0
2466	0
53796	777
10861	2814
18555	1626
7625	0
6993	0
101791	4580
7624	0
129008	1827
63687	0
111168	977
298	0
2468	0
18554	0
14933	0
4138	0
32386	1229
2057	1
26573	1
20411	2300
8859	268
25732	2471
37086	1377
27430	2121
4442	208
31381	0
114	0
8425	0
15429	0
59033	0
66940	1648
48284	0
18672	0
15445	0
23256	0
5998	0
64080	0
9590	0
273	0
22265	458
63637	10
7302	10
54633	6
11095	5
2222	9
45607	2827
575	9
3436	0
13165	3
7293	3
64925	38710
2877	2
59428	2
13009	2
6885	2
12441	2
6424	14
408	211
8423	21
5958	291
673	996
47611	112
7184	285
26634	19
30187	20
95017	17
57879	3596
131879	4607
12636	3172
46627	2962
22998	2355
22938	1657
23067	2963
58493	2203
80198	2246
53290	23099
68684	4608
133319	4609
131114	4610
60204	2784
58049	1461
41996	1492
112709	311
132859	4611
136492	4612
115724	4613
65780	2445
51786	2377
69907	4615
131992	4616
36709	33
78752	671
62935	2012
23149	0
86258	1902
45825	31860
131794	4619
67648	4620
50163	45
134610	4621
63959	4622
4308	881
131704	4623
138115	4624
46498	1258
75333	4625
131198	4626
25934	2107
41177	709
1105	494
86138	4629
133128	4630
33243	598
27067	1438
76244	3224
52714	3190
86240	3028
134779	4633
52962	3165
103081	14048
60793	2959
645	4635
16134	56109
133081	4637
4042	762
42323	1300
85078	4639
58171	1611
49104	2770
97327	4641
11749	1481
1069	2324
60485	4642
74968	4643
62400	545
48343	3694
42763	1530
80898	4644
52167	1481
61819	2932
129299	41
49974	2168
103112	4647
73701	3025
6971	719
8863	0
115300	45008
51231	1119
82910	3597
95941	14355
2530	4651
1034	4652
68282	4653
79579	1488
131173	4654
13799	1465
113861	3147
134861	4655
15179	1962
110917	2176
136618	18326
114434	4656
132050	4657
101768	1431
37481	44629
118028	1104
107476	4659
68275	4660
16864	1668
52850	2421
14174	934
53381	53686
67819	4661
92832	1178
23054	1504
133620	4662
104225	7566
30584	1530
58509	49326
34467	2458
44599	2183
35561	63
113119	15172
135308	4664
51385	4665
40901	804
58236	453
74927	4666
80442	492
47106	815
86507	676
132131	4668
45250	57375
74734	4669
114359	4670
61167	3170
60354	2128
133697	4671
2372	3098
4279	6932
52272	634
98537	430
82329	4672
84447	14215
75900	4674
131063	4675
81071	2197
1136	3723
132808	4676
66843	4677
118337	562
45141	3834
131943	4679
117406	4680
5127	0
133596	4682
1062	2535
43778	2315
50212	1362
52000	1198
31500	2025
125177	287
70793	4683
90720	1223
131235	4684
44104	2770
17896	35308
50166	1379
56057	1348
24326	1439
33594	1853
98959	18648
66297	4685
34110	20618
50439	480
554	458
135852	4687
134357	4688
109091	1794
71899	2666
29820	1163
3579	4690
78583	44940
69084	1431
75873	4692
43026	504
15692	39540
80292	18473
136379	1823
37990	814
131919	4695
93273	3068
67286	14866
38079	2203
61858	1306
134536	4697
14043	1987
78641	4698
15188	1796
34225	589
15688	3598
70666	2578
134035	4700
36670	657
40805	466
131122	4701
78557	2688
60376	521
42701	35368
87575	42254
130423	4704
53874	978
132000	4705
3779	1612
51325	2110
109849	1455
133940	13713
102967	3005
53548	1417
4959	649
85987	2965
61871	2018
27882	614
100415	3692
25640	2127
99788	2982
39110	1155
33000	874
94171	2094
3448	8857
131113	6599
96270	4709
133040	4710
61093	1902
41723	1447
5017	1422
125437	1636
94972	12240
4696	432
51122	2200
81201	1393
4242	58825
78974	2986
19207	526
98159	4713
59531	2918
134788	4714
24976	700
73580	4716
61317	441
34270	317
26787	4717
62638	532
136365	4718
26474	1002
78103	3168
79657	714
84205	624
81188	458
67044	2432
65999	4720
21066	2418
134594	4721
80906	4722
94405	1521
42613	1504
131688	4724
46361	561
9712	2033
74638	1908
118204	4725
104548	1977
131182	4726
69735	4727
29890	876
64983	1529
4121	982
53684	4247
133112	4729
20150	3059
69461	4730
132058	4731
54455	2419
138082	3088
72473	4733
138495	4734
109439	313
131328	4736
9334	1152
75410	2421
73896	4737
62319	779
34107	888
117333	4738
36804	959
97576	48203
49859	1099
75347	3170
30767	1852
125477	3609
70844	4740
53066	2974
104891	4741
100190	1543
134845	4742
67168	4743
64652	3044
16860	1432
93787	1458
136602	57106
4973	0
53091	624
82366	2769
74255	1374
93052	4746
31435	982
23074	1536
5492	1128
134454	4748
51976	3672
51574	896
59127	1849
133604	4750
89104	3602
30308	2035
44658	1557
88025	430
131745	4751
108303	4749
131243	4752
9109	0
133481	4754
88120	2090
15193	762
66306	4755
17759	1763
57121	411
79516	21231
132115	4756
53096	2903
28179	2613
52905	454
79333	807
12051	108
124503	4758
131526	4759
131369	4760
60608	2138
19111	1838
32956	45075
89524	16228
98310	4763
96148	1427
75883	4764
52620	231
66711	4765
16809	3085
11886	1417
131927	4766
98347	1247
108108	483
58487	58511
85149	521
83282	1544
4958	311
70542	4768
34189	1708
4049	522
32115	430
82298	4769
91329	732
15702	4770
63189	898
51497	1111
70508	3317
50947	3006
131636	4771
39491	1977
48210	2650
53083	877
126645	4772
97830	4773
73944	665
60355	2217
24787	831
70383	3181
74880	17804
89468	16900
109653	772
62610	561
73336	2784
76781	2359
131229	1110
61682	53927
117282	4775
13185	4776
131870	4777
6085	630
33391	2382
61059	687
86641	4778
131105	4779
133365	4780
4607	0
93069	4782
47814	702
71965	870
96243	1241
35877	600
3121	4783
131984	4767
39875	1266
71482	4784
90017	4785
1375	317
4441	2009
31399	2377
61320	49277
66010	4787
67699	4788
59615	0
27798	1831
24658	25142
56599	760
1460	26
23060	1221
40327	412
88402	4790
133234	4791
81451	626
49638	13281
71254	4792
66598	4793
75288	3623
21495	815
28498	829
67015	4795
20916	393
39286	1683
90548	4796
134771	4797
66750	3599
47063	668
57880	2962
52372	54454
17439	890
65969	891
4241	440
58823	430
47905	1899
33107	2454
58579	4799
50368	31133
86086	56456
66228	43614
68407	2466
23075	1344
50867	232
29223	937
80890	4802
14168	3125
43141	1966
69044	4352
131672	4803
104032	3219
132195	4805
73534	3600
131164	4806
28181	0
24255	2690
33270	1151
66866	4808
18544	2524
132042	4809
101921	2692
80720	4810
90881	1174
71541	4811
123936	4812
70584	4813
49081	2979
40757	1300
132188	1403
57352	1299
17373	3601
38620	2161
70589	3230
95365	52874
71429	57776
82426	4816
47356	32051
