node_id	cluster_id
7621	1
15646	1
3835	1
19725	1
9583	1
16536	1
6590	1
2430	1
14424	1
180	18058
787	1
30651	1
29046	1
53070	12997
23304	1
14579	14462
15177	11859
12925	1
1831	1
14630	17044
13346	1
19720	1
21310	1
32627	1
3262	1
27760	14238
131	1
1788	1
173	1
189406	5837
1800	1
28857	18134
30016	7826
10968	18135
21344	18136
9537	1
14242	12077
8782	10912
14331	1
26669	16457
189	9652
12325	1
16248	12728
14470	1
1821	1
14836	15049
177	18979
19732	16766
14195	8283
28939	1
75704	7827
6591	1
30538	9481
170	1
13638	17180
16632	18980
29227	11000
204	1
13435	18981
16224	1
15814	1
30214	12873
31547	17672
13420	1
13216	5916
8936	1
4530	1
7195	1
27078	12107
14622	9284
23314	1
10984	1
662	1
32286	1
29052	8799
12110	23726
30853	17063
28156	1
30310	1
27954	20211
14105	1
30843	17373
16246	6702
11727	1
69042	1
30664	9999
182	15342
14037	21232
41984	19932
81177	21726
30170	10598
24426	7465
14232	18982
1819	1
1825	1
12682	1
1824	1
16767	1
27115	1
19727	12683
27052	23839
8931	1
26857	11146
15651	1
494	1
14101	1
15610	1
17146	6793
14137	4756
51120	16853
47137	1
15678	13531
13343	1
28612	1
26816	9169
9364	1
25106	11147
16676	12729
27866	16570
30005	1
13169	1
14450	20084
28447	22295
63819	17430
14595	11148
7567	1
1835	25112
8554	1
20133	1
8995	22710
27742	10599
68827	9994
14099	1
15819	8857
72036	16727
9026	18137
3495	1
10980	1
1802	1
39579	7466
30166	13159
20144	7744
28806	23728
17094	1
28050	11150
13567	9292
28458	15066
15790	1
10886	9127
23306	1
27067	1
39986	8604
23313	1
27981	22881
17307	1
28602	11891
14874	16034
28900	23729
190	10043
136783	10044
16145	6686
30464	18138
1813	20668
17391	14156
14030	1
15878	1
28989	20231
29948	1
27191	17845
1827	1
28551	9453
11739	1
13854	10326
29687	10327
27350	21855
27307	19661
4069	1
8914	1
14515	23730
1815	1
3805	1
1816	1
13344	20416
21342	8071
13787	1
20132	16458
15349	9129
2384	1
13697	1
168	1
75908	17235
13769	1
39497	14484
15558	7511
28704	25805
763	1
23305	1
51140	22652
29139	15111
29292	16040
30173	11152
16001	1
16589	26013
28645	1
193	1
8993	1
12929	1
16955	20422
28837	14577
25159	11004
55459	18100
12937	9625
1809	1
13058	17847
29021	1
13345	1
2400	1
15729	12353
23679	16041
206	1
35149	1
38105	12731
56519	14934
15221	18139
17123	1
1810	17080
14201	12779
14942	18140
24429	1
16285	12270
11720	19806
9034	18141
1832	12175
39492	19586
13999	22869
183	1
16477	19453
60487	6391
28492	16227
16532	17839
19127	16890
28116	10600
16109	20528
3129	1
30848	18984
30193	22316
17502	9454
9008	1
197	12083
3172	1
16228	12354
15542	1
14326	6795
86805	9484
27399	12733
28531	10601
1828	1
29206	18985
26544	12273
108792	12417
1811	1
181	1
27001	1
14092	10649
11872	22529
26713	1
14977	12165
1818	1
29368	1
15119	1
49699	22989
16097	1
12322	1
116567	11023
15694	19809
14500	12220
26952	1
28879	1
1808	12086
29832	9843
12934	1
1820	1
166	8602
14372	1
4542	7467
9526	1
15735	14584
19718	1
16548	10045
17408	16042
5636	12734
111361	14695
16547	1
29188	18144
16118	12131
191	9128
17226	1
7053	18986
17547	9019
18218	10046
28343	17954
9020	1
12312	1
27380	1
27854	18022
13698	18145
7898	12359
19132	23732
81176	20099
80832	23162
19136	25091
44496	7745
2450	11261
15449	1
14658	26225
15851	10603
8913	22211
178	1
28733	16456
29668	26045
30072	1
23318	16734
22693	13159
29018	9898
37487	6364
1799	1
16907	14749
16241	23733
29589	1
27102	1
15328	6515
1823	1
27467	1
16194	16487
29019	12755
764	19727
26721	8603
15977	8614
7037	20274
27045	9302
50948	14376
29507	25814
17162	17885
1834	5722
8925	8707
39498	19659
13049	19959
30466	12028
47212	6729
29669	6737
37929	12735
10756	6442
14300	19705
17445	12736
23302	1
27010	7907
15250	11143
175	7468
10564	18987
16579	1
27220	2821
30024	18407
151044	7263
63087	35
41477	17655
8946	11023
36728	18988
433	1
62364	6350
6795	35
64927	14738
7213	35
60555	9653
26457	35
5743	6671
6747	17711
13669	17476
36732	35
113191	7928
6755	35
10559	35
6765	11006
46519	6879
139444	17178
19565	35
22327	6365
46508	12389
10567	35
29463	14337
7839	35
11483	23734
61266	35
16526	6350
7210	35
36723	18989
16934	9020
19865	11007
17090	35
81623	12355
32844	35
64926	11614
71578	8687
34581	11383
8947	35
13471	35
1041	35
57254	26528
38370	15941
36725	35
8951	22678
6805	7469
16874	23735
23683	35
9023	99
78115	14136
50658	21717
8992	99
5248	99
60474	99
67496	99
30312	99
9029	99
9596	99
9004	99
47899	99
50659	6494
79450	99
59119	99
15588	12991
98564	20233
28739	375
8503	375
17008	375
22279	375
46362	14285
30521	375
90953	375
8499	375
6709	375
30227	375
125924	375
8921	375
6717	18149
90949	11442
16991	12738
70220	14285
23189	375
8500	16043
26900	375
29887	9169
6721	375
6708	17665
10753	20532
74393	26136
969	30
1951	30
28656	12086
1762	30
9517	30
6108	30
22348	30
6098	30
27781	7135
25079	30
64101	30
64992	30
127448	30
13767	19974
28172	30
9451	16789
15493	30
34995	30
29960	11622
14352	30
29653	30
10896	19855
142	30
9001	30
9006	30
64999	30
16497	30
9019	30
62266	18125
28607	30
15193	30
1957	30
30703	30
6105	30
27286	30
12228	30
111370	12739
9018	30
27916	30
127451	19815
127447	30
10752	30
13771	30
27772	12739
95486	30
51288	30
91412	30
10749	30
29275	20245
13631	30
14327	30
10750	30
40241	16891
10757	20234
102669	19649
28216	11156
29302	23876
6103	30
1952	30
46245	30
68708	16490
1962	30
16323	30
17396	25115
94038	18990
1939	30
3255	30
120306	23864
26716	30
65567	16508
16732	9021
133745	30
40236	30
95485	12878
119199	30
14892	211
35730	211
15455	211
20179	211
16067	21306
17320	211
14292	20500
10786	2526
16207	211
28386	2526
16841	211
17548	21533
32472	211
108793	16369
45868	2526
45865	25177
11962	211
25322	211
41072	211
13962	211
30097	25120
35729	12626
9511	211
14659	211
9516	211
67287	211
35721	211
122306	14602
128100	11796
30500	21237
13430	211
105039	2526
106343	211
17327	211
755	104
41320	104
53512	104
145059	28815
660	104
104071	104
15746	104
101308	104
15236	104
116357	20100
75703	5212
133591	104
62425	14141
6885	104
89701	104
53514	12742
756	104
48856	9129
20148	104
14753	104
106720	104
82951	12742
