node_id	cluster_id
0	0
1125	1
95	1
840	1
7994	0
190	1
4169	519
1265	496
12477	847
242	1
68	0
78	1
977	2039
1116	1
8002	1073
2440	1
13	0
1127	1
10850	898
646	1
4332	457
59	1
493	1
5846	0
110	1
241	1
625	1
40	0
4425	1
4217	1
71	0
1669	437
97	0
9739	886
13595	788
477	1
4641	1
769	1
9631	453
672	1
1343	0
629	1
107	1
3548	0
9142	1
69	1
1112	1
94	1
10526	716
7885	0
12253	0
2585	1
1459	673
642	1
8605	800
9305	777
1098	1
5189	451
1093	1
1119	1
638	1
13942	0
11600	768
626	1
12369	993
9415	1
41	0
609	1
12208	716
644	1
968	1
1109	1
839	1
11446	608
64	1
1117	1
3549	0
13216	180
9909	719
5467	568
13479	1
89	1
5675	627
648	1
10626	1
9764	1221
188	1
15568	861
1104	1
6943	869
1028	1
991	1
783	1
675	1
1115	1
1151	1015
13379	1252
1899	721
184	1
650	1
4066	277
1118	1
2533	678
1096	1
86	1
1101	1
578	0
15374	1
98	1
8388	425
1406	720
722	889
14050	0
12723	1
4920	555
13055	651
614	1
55	1
623	1
13263	1
8768	590
8272	1
4321	1
13326	457
11820	914
11383	0
1569	663
15604	2061
1005	718
1070	1
252	1
2001	472
11928	0
90	1
5289	362
10328	1
318	1
11665	695
10045	644
603	1
15382	649
488	1
211	1
9242	1
635	433
8705	1
5459	1
13047	1
238	1
10742	996
606	1
9586	995
610	1032
1068	1
12894	996
7097	1
15590	361
676	1141
697	736
13834	1
999	1189
649	1
1099	1
4177	1
1106	1
616	1
8813	629
13587	0
11499	415
1100	1
632	1
8335	508
15567	1236
4003	476
611	552
10734	1
633	1
1092	1
14159	0
5181	1
6671	591
580	1
6663	1
1993	1
2273	802
12641	1229
60	1
1110	1
6601	1036
3596	1014
12145	550
13163	666
756	1
5297	798
2265	1
637	1
4757	1142
551	1
1121	1
15180	592
2056	553
9250	717
4596	1186
647	1
11491	1
1286	820
1561	915
621	509
7677	639
53	1
577	1
3588	0
1122	1
11175	1
11391	795
262	1
8165	772
9694	878
247	1
12424	644
1095	1
5663	0
5081	645
2157	1
622	1
5073	1
10842	1
1123	1
4649	466
3539	594
570	1035
12469	1
206	1
4965	1
641	1
6989	1
701	1068
674	1
1451	514
9153	687
15333	1187
67	1
764	1
7669	699
8984	699
234	1
11712	0
1002	1325
680	1
1777	0
8102	423
8443	860
8488	1
11605	641
1840	812
1097	1
565	1
5525	1069
628	1
1114	1
6888	916
9918	569
5755	565
87	1
1159	844
1105	1
5464	1280
7622	727
1214	802
2486	859
643	1
10054	424
2683	810
547	773
3696	889
640	1
11834	861
183	1
187	1
5708	721
8713	630
12731	545
8921	600
4209	1
2680	1
1107	1
11275	1
10167	1
3759	1161
13703	918
1124	647
11059	1
615	1
2648	792
13842	382
11720	496
712	1063
9029	1
2413	1350
700	522
4541	1016
735	765
605	1213
11067	997
1948	760
1102	1
7777	495
7948	361
639	1
1103	1
11167	1
10064	512
8057	575
4857	1
1165	308
1677	594
713	1168
12586	1
10410	1
3807	631
5461	587
240	1
993	636
15596	1288
66	1
13218	814
624	1
760	1
12831	1
1094	1
3550	382
108	1
6606	1
5619	846
12578	1
718	1086
8821	614
7732	765
9183	1158
5136	562
3903	881
4973	640
15525	471
12267	1155
631	1
15340	1
5523	1016
9924	1132
5087	1296
2682	545
12839	994
9478	766
15600	490
7840	362
717	1217
9799	510
13695	894
11883	884
653	1
2408	1024
4749	1
10518	1
5445	831
1113	1
556	1
10424	395
994	1227
5574	0
15592	803
630	1
15187	1
9531	841
689	842
13371	1
4533	1
15536	815
763	1
1120	1
207	1
14285	899
12939	1
15610	1071
4704	495
3551	1188
9423	543
6779	722
751	1072
11679	684
8597	1
1624	1162
1129	513
636	1
3895	521
1299	872
8929	598
6880	1
787	1
1126	723
1351	570
5776	615
12532	676
4865	724
627	1
719	895
645	1
3817	911
8280	346
4488	998
2432	784
3533	1189
14005	1113
7785	422
12361	1
3958	725
9037	899
2165	1151
13161	1073
2537	1
8286	752
10797	720
13155	1
10062	427
6834	870
6771	191
2593	638
10418	1078
14058	423
15594	726
10951	0
634	1385
11283	727
8110	584
10236	1249
5028	1149
1108	1
15571	241
14173	382
13271	1
716	1091
15509	1048
4433	1063
992	476
10055	489
7221	693
13158	868
1885	0
12316	1069
12261	728
4439	1366
9523	0
11632	431
2328	999
14167	861
12153	582
11936	557
1091	1
4272	681
3554	717
15608	559
1128	1
9952	599
15543	437
13758	1000
13650	904
15297	1155
998	774
1111	1
1785	1029
7105	825
13162	575
13542	1035
3853	733
1069	1
9754	632
12037	0
1062	727
3552	657
4812	1159
12592	1119
15580	1387
11684	484
982	1049
12947	921
671	1
7916	0
880	0
6911	0
941	0
8133	0
7	0
888	0
8411	0
7128	0
9	0
13294	0
848	0
74	0
13823	843
911	0
7808	0
8694	651
885	0
1182	0
13186	0
9620	739
13402	0
895	0
859	0
944	0
654	0
13726	0
13078	0
8844	0
1541	1462
849	0
931	0
5490	0
5104	0
1700	0
10873	0
871	0
856	0
846	0
5212	0
12862	0
9830	0
5596	0
860	0
10085	0
7700	0
13618	0
904	0
4240	0
930	0
915	0
886	0
899	0
932	0
11306	0
917	0
9446	0
843	0
11	0
9273	0
13865	0
923	0
878	0
884	0
8736	0
11522	0
5320	0
906	0
8952	0
894	0
1916	0
898	0
900	0
937	0
865	0
