node_id	cluster_id
111	0
207	0
1930	0
29661	3637
313	0
669	0
7608	4298
13394	4946
2216	0
1175	0
7904	5695
1174	2969
796	0
1059	0
341	0
805	0
1608	0
29	0
405	0
18241	2970
351	0
10346	3638
688	0
3870	0
69230	1501
350	0
3477	0
7466	1502
2290	0
7887	0
13566	3917
69221	487
2840	0
17434	0
450	0
6299	0
811	0
67817	7697
3829	3286
793	0
10813	1306
1613	0
2117	0
119643	9646
7202	0
903	0
1176	0
987	0
403	0
862	0
9318	3919
2035	0
5963	1003
437	3284
9705	0
368	0
3576	0
354	0
219	0
7463	5697
4608	0
2215	0
12677	0
9441	1504
8164	0
624	0
1724	0
413	0
612	0
7342	0
737	7497
19417	1505
2692	0
14677	0
4835	2507
15826	0
303	5295
1579	0
13641	3924
3349	0
2341	0
7626	3206
12295	3223
311	0
1844	0
11730	485
3475	0
66146	3639
764	0
64533	1507
3796	489
41840	7124
7622	0
904	0
96	0
8838	0
4617	0
4470	0
21482	3016
566	0
877	0
410	0
447	0
355	0
7965	0
7624	0
54697	8594
63687	2677
312	0
2470	0
4563	2489
12263	8751
3744	0
4421	3515
12339	5798
252	0
863	0
1475	0
627	0
19104	0
1606	0
21356	1428
3366	0
374	0
560	0
2022	0
4117	0
1810	0
42021	5853
777	0
445	0
3747	0
218	0
471	5219
67599	0
9076	7698
3528	0
3380	0
604	0
3113	0
6947	0
83	0
2409	0
13620	490
94	0
19038	491
380	0
889	0
3202	0
56773	6794
7223	0
12029	5863
1315	0
77731	9092
758	0
379	0
25514	3920
1466	0
3465	7700
4553	0
6551	5272
88358	1377
15026	7488
646	0
128386	3918
68863	6441
2895	0
3574	0
4854	0
3471	0
3048	0
3134	0
107405	1510
927	0
5626	0
5189	0
18689	0
1295	0
1604	0
2661	1511
54592	9647
31278	3641
49286	5698
3091	0
9569	0
6941	1512
48727	492
3024	0
1977	0
3670	1006
4622	0
3047	0
11839	0
3988	0
739	0
4330	6800
5304	0
364	0
310	0
48588	12419
2734	5274
221	0
2471	0
3824	0
6680	0
40214	9648
803	7184
2657	0
933	0
10448	493
1135	0
4072	10346
400	0
302	0
51054	8329
14032	4444
3164	494
342	0
26096	5699
1638	0
12085	7563
5379	0
8830	6368
2447	0
567	0
1676	0
10814	7701
5907	0
1816	0
13656	1513
2534	0
139	0
48593	5275
3532	5889
3987	0
2465	0
10308	0
7853	1495
359	0
356	495
428	0
1150	0
8495	5182
1309	0
1337	3581
19440	0
13561	5700
6243	7230
73083	6442
5864	0
765	0
5888	0
12674	3925
228	0
1543	0
352	0
2239	2679
14743	1514
1083	0
6955	0
854	0
763	0
981	0
3957	0
1233	0
893	0
1318	0
2646	0
4505	0
50003	3926
8060	0
56689	1430
3469	7702
4555	0
7967	3626
4524	6239
12292	0
69965	2265
6448	2508
85	0
5531	0
10348	0
12035	496
406	0
24063	4368
4548	2509
769	2510
9092	1515
4881	0
1843	7202
9129	4096
10340	4097
815	0
10582	1516
130	0
10355	0
4562	5859
45491	1517
13950	3278
52757	0
9062	0
770	2756
7263	497
1673	1418
1224	0
473	6831
26706	0
4138	0
2118	0
54538	985
82771	4369
2379	0
4520	4920
2918	0
6485	3283
12298	498
32853	5183
455	0
30097	9649
7339	10402
3468	7703
7740	3224
766	4840
11555	0
76079	1518
21199	8940
8372	0
39092	0
412	0
14385	5166
6445	6900
3708	0
1972	0
5088	0
32978	6395
1183	0
6965	9650
1617	0
12014	1519
22912	7203
6809	5701
48460	499
62117	1395
9684	0
1741	0
7619	0
7625	3927
986	0
3601	0
772	0
398	0
7344	0
8071	0
1686	0
813	2680
4546	0
12302	1002
250	5277
307	0
13008	0
1892	5702
395	0
14857	7704
393	0
6967	0
6400	7705
32634	5184
11820	9062
2091	4445
7161	2948
12044	5185
16895	3225
71107	3913
1603	0
90985	6501
14193	0
69226	1520
686	0
2920	3018
1125	0
2963	0
82	0
1324	0
3572	0
88277	8331
3476	0
12082	1327
977	0
6173	0
17016	0
2302	0
5014	1307
7616	3548
855	0
4711	3928
23646	9557
3466	0
5004	994
3961	0
12299	500
49333	9651
2726	0
9673	0
73949	4037
66126	7707
116905	2512
6466	0
3442	0
83913	4447
12048	501
3573	0
7268	1522
7620	3929
14031	10496
44432	3618
1482	0
7964	1503
7465	5954
3710	7519
24159	3967
24698	502
3478	0
3371	0
9139	1432
18787	4103
12289	0
5699	0
802	0
399	0
19415	9652
5031	0
3685	8386
1361	0
32981	503
32848	3019
3980	9462
12812	3020
11147	0
6166	1394
20898	504
25393	5278
17212	0
922	0
116403	4463
7617	1523
8521	0
306	0
4675	0
1420	3021
66124	3022
1074	0
1148	4098
5022	1197
66143	3023
61828	1524
42	0
14029	8365
13161	6443
3333	0
7117	0
1327	0
13162	1379
83443	7177
3798	3226
26293	1470
4561	7131
10208	1525
4986	3497
34912	6428
9738	1381
1278	0
27214	505
53628	0
17187	2513
1847	0
798	0
46066	1303
13392	1433
2834	0
1611	0
7610	3227
29173	0
3570	2721
10178	506
13395	1004
1179	0
31091	3
820	0
3878	3
104390	3
2754	3
1708	3
25412	3
3934	3
3871	3
3857	7708
25119	4212
47455	8639
31055	6868
4257	3
2994	7042
1576	0
3883	4712
2675	3
2978	5095
3864	3
4250	3
984	0
3021	3
3035	3
3033	3
39355	3
3044	3
3023	3
3837	277
3920	3
3022	3
22649	3
114073	3
2976	3
57308	3
2977	3
1712	0
3017	3
4252	3
39356	13177
249	0
10958	5159
18357	6241
5375	3931
1657	0
31889	3931
5952	1
18339	9075
18327	5985
18329	6889
3030	2910
1674	7709
3116	0
1894	508
18528	2862
37624	509
168	0
3439	0
6748	0
11189	7710
2233	0
4170	0
5428	4977
8264	3932
5427	0
8459	5991
3041	0
8853	8366
6620	0
1662	0
5779	0
5257	0
5235	0
7666	5891
32191	7321
3147	4051
36754	7551
193	0
5194	0
1214	6199
3117	0
2359	0
5380	0
5217	0
6006	6643
1316	0
6198	0
8411	8752
5385	5703
18097	6264
317	0
3057	0
8413	5832
45907	6242
40748	8984
5335	0
5532	5279
32484	6908
5407	8367
8991	1308
5507	0
32480	7332
8346	3565
10808	9993
17957	4784
8179	0
12544	2731
1745	8577
2018	0
5391	1526
6190	3933
39928	6348
6010	6304
13902	3643
6180	6232
12564	8368
6011	2681
39764	8420
1960	2732
43099	9412
196	0
2021	0
5196	3024
797	0
5183	6516
46460	10403
6847	0
6189	2514
24619	7713
8216	510
21865	3921
305	2682
19877	8696
13965	7714
2740	5865
1937	0
5831	2264
9069	2683
2254	0
470	14
7813	2
2569	2
225	2
2580	5087
2550	5009
2603	4180
7821	2
44	2
2561	2
7807	2
2563	2
45469	2
20820	6060
2573	0
2243	2
2623	3328
8189	2
7800	7250
2575	4158
2620	2
55265	2
55001	2
2611	5087
26263	2
2544	2
20823	2
2574	2
43460	2
32906	2
20808	5905
131	1527
55901	1376
18862	1309
61249	7320
66275	7671
1467	2667
3943	0
23398	0
27153	1528
19261	1007
62218	2503
65891	2362
3660	511
3070	0
10619	1404
83907	7327
430	2515
30669	1530
59001	10803
42232	1434
8024	1008
435	1435
61019	9502
29203	512
19677	6035
32225	1304
432	1498
12994	10345
60278	513
61808	2516
34911	3934
29310	3579
56930	1532
35322	1409
385	2464
61014	1410
58876	5866
13455	3434
8337	2260
59578	5957
440	9197
4677	1494
6217	7670
31689	6001
27182	1533
8110	3644
875	3935
59636	5143
6690	3936
15052	1534
112	1535
62885	7359
2730	0
9862	6293
66363	6852
30281	5684
13160	1536
4303	2461
5829	4370
20325	1500
10153	1009
37828	1537
60339	8760
26906	8369
64550	7567
2655	514
59033	5854
21780	3937
25732	6276
2779	515
52940	7716
72057	1538
120225	9289
76029	6898
28166	1539
19671	3217
62616	1540
18855	516
43232	2971
17195	7717
18060	5974
31514	2517
52208	7718
61352	4655
59425	8370
60269	3014
64864	11184
11727	3295
15524	8356
348	1436
62786	6485
35709	3535
17135	5225
19128	4448
58882	6243
41274	2666
5734	5704
426	9373
11423	986
55324	1541
66282	6452
25906	3013
431	1542
10100	1543
29308	7719
438	8371
63171	1544
27589	2362
11781	1423
104238	6133
213	3938
24971	1386
122	517
61855	3025
14222	5186
8425	4052
